Instrument,earningsGrowth,revenueGrowth,profitMargins,grossMargins,returnOnEquity,returnOnAssets,debtToEquity,priceToBook,forwardPE,dividendYield,longName,sector,longBusinessSummary
ARION-SDB,0.373,0.28,0.39658,0.0,0.12869,0.01663,,0.08879296,,,Arion banki hf.,Financial Services,"Arion banki hf. provides various financial services to individuals, corporates, and investors in Iceland and internationally. It operates through three segments: Retail Banking, Corporate and Investment Banking, and Markets and Stefnir. The Retail Banking segment offers financial services, which includes deposits and loans, savings, payment cards, pensions, insurance, securities, and funds. Its Corporate & Investment Banking segment provides a range of products, such as guarantees, deposit accounts, payment solutions, and value-added digital solutions to SMEs, large-cap companies, and investors; and various financial advisory services, including M&A advisory, equity private placements, IPOs, and other offerings of securities. The Markets and Stefnir segment manages financial assets on behalf of its customers, as well as a range of mutual, investment, and institutional investor funds; administers pension funds; and provides various services for capital markets and securities brokerage services. It also involved in insurance and real estate business; and offers asset management and rental guarantee services. Arion banki hf. was incorporated in 2008 and is headquartered in Reykjavík, Iceland."
AZA,0.269,0.217,0.53242,0.90727997,0.35819998,0.00733,5.302,7.167922,24.631336,3.69,Avanza Bank Holding AB (publ),Financial Services,"Avanza Bank Holding AB (publ), together with its subsidiaries, offers a range of savings, pension, and mortgages products in Sweden. The company offers share and fund, investment savings, endowment insurance, savings, endowment child insurance, external deposit, and pension insurance accounts, as well as occupational pensions and individual pension plans. It also trades in equities, funds, and other securities; and provides external and green mortgages, private banking mortgages, margin loans, and stock lending products. In addition, the company offers decision support services and others; and publishes topical news and independent advice on the financial website, Placera, as well as on the weekly financial magazine, Börsveckan. It primarily serves individual and professional investors, and corporate customers, such as entrepreneurs, asset managers, and occupational pension customers. Avanza Bank Holding AB (publ) was incorporated in 1986 and is headquartered in Stockholm, Sweden."
SHB-A,-0.043,-0.037,0.43546,0.0,0.14546,0.00728,,1.3613461,11.082384,5.9,Svenska Handelsbanken AB (publ),Financial Services,"Svenska Handelsbanken AB (publ) provides various banking products and services for private and corporate customers primarily in Sweden, the United Kingdom, Norway, the Netherlands, and internationally. The company offers savings, transactions, business, currency, and investment accounts, as well as accounts for cash pool, and forestry and agriculture; mortgage and committed loans, and private loans; mutual funds; pension products; credit and debit cards; and payment and reconciliation services, as well as foreign exchange rate services. It also provides financing for investments, such as equipment, cars, computers, and other inventories, as well as vehicle and real estate financing services; green loans and advisor services; investment and other financing services; medical care, and group and health insurance products; forestry and farming banking products; and online and mobile banking services, as well as various banking services for children and young people. In addition, the company offers financial services, that includes asset management, transactional banking, corporate finance, financing, markets, trade finance, market information and research services to large corporations; cash management solutions; and various corporate banking services to small and medium-sized companies and large corporates, as well as private banking services. Svenska Handelsbanken AB (publ) was incorporated in 1871 and is headquartered in Stockholm, Sweden."
SHB-B,-0.043,-0.037,0.43546,0.0,0.14546,0.00728,,2.132722,22.434881,3.75,Svenska Handelsbanken AB (publ),Financial Services,"Svenska Handelsbanken AB (publ) provides various banking products and services for private and corporate customers primarily in Sweden, the United Kingdom, Norway, the Netherlands, and internationally. The company offers savings, transactions, business, currency, and investment accounts, as well as accounts for cash pool, and forestry and agriculture; mortgage and committed loans, and private loans; mutual funds; pension products; credit and debit cards; and payment and reconciliation services, as well as foreign exchange rate services. It also provides financing for investments, such as equipment, cars, computers, and other inventories, as well as vehicle and real estate financing services; green loans and advisor services; investment and other financing services; medical care, and group and health insurance products; forestry and farming banking products; and online and mobile banking services, as well as various banking services for children and young people. In addition, the company offers financial services, that includes asset management, transactional banking, corporate finance, financing, markets, trade finance, market information and research services to large corporations; cash management solutions; and various corporate banking services to small and medium-sized companies and large corporates, as well as private banking services. Svenska Handelsbanken AB (publ) was incorporated in 1871 and is headquartered in Stockholm, Sweden."
NDA-SE,-0.079,-0.033,0.42099997,0.0,0.16820998,0.00791,,16.337898,102.77373,7.21,Nordea Bank Abp,Financial Services,"Nordea Bank Abp offers banking products and services for individuals, families, and businesses in Sweden, Finland, Norway, Denmark, and internationally. It operates through Personal Banking, Business Banking, Large Corporates & Institutions, and Asset & Wealth Management segments. The company provides various financial services to customers through mobile banking, over the phone, online meetings, and branch offices. It also offers payments, cash management, cards, working capital management, and cards and finance solutions. In addition, the company provides financing, payment, investment banking, capital market products, and securities services; and investment, savings, and risk management solutions. Further, it offers savings products and asset management, including investment funds, discretionary management, portfolio advice, and equity trading and pension accounts; and asset-based financing through leasing, hire purchase, factoring, and sales to finance partners, such as dealers, vendors and retailers, as well as life insurance and pension products and services. Nordea Bank Abp was founded in 1820 and is headquartered in Helsinki, Finland."
SEB-A,-0.158,-0.07,0.42975,0.0,0.15387,0.00832,,1.405238,10.455985,5.12,Skandinaviska Enskilda Banken AB (publ),Financial Services,"Skandinaviska Enskilda Banken AB (publ) provides corporate, retail, investment, and private banking services. The company operates through Large Corporates and Financial Institutions, Corporate and Private Customers, Private Wealth Management and Family Office, Baltic, Life, and Asset Management segments. It offers cash management products comprising integration services, liquidity management, file integration network, and payment solutions; markets and trading services, such as equities, fixed income, commodities trading, brokerage, and foreign exchange; financing and investment banking services; shipping and real estate finance services; venture capital for entrepreneurs and innovators; and asset management and private equity services. The company also provides investor services; pensions and life insurance products; private wealth management services; treasury services; and receivables and supply chain, trade, and export financing services, as well as invests in funds. It serves large corporates, financial institutions, private individuals, and small and medium-sized companies. The company operates in Sweden, Norway, Denmark, Finland, Estonia, Latvia, Lithuania, Germany, the United Kingdom, and internationally. Skandinaviska Enskilda Banken AB (publ) was founded in 1856 and is based in Stockholm, Sweden."
SEB-C,-0.158,-0.07,0.42975,0.0,0.15387,0.00832,,1.4316233,,5.02,Skandinaviska Enskilda Banken AB (publ),Financial Services,"Skandinaviska Enskilda Banken AB (publ) provides corporate, retail, investment, and private banking services. The company operates through Large Corporates and Financial Institutions, Corporate and Private Customers, Private Wealth Management and Family Office, Baltic, Life, and Asset Management segments. It offers cash management products comprising integration services, liquidity management, file integration network, and payment solutions; markets and trading services, such as equities, fixed income, commodities trading, brokerage, and foreign exchange; financing and investment banking services; shipping and real estate finance services; venture capital for entrepreneurs and innovators; and asset management and private equity services. The company also provides investor services; pensions and life insurance products; private wealth management services; treasury services; and receivables and supply chain, trade, and export financing services, as well as invests in funds. It serves large corporates, financial institutions, private individuals, and small and medium-sized companies. The company operates in Sweden, Norway, Denmark, Finland, Estonia, Latvia, Lithuania, Germany, the United Kingdom, and internationally. Skandinaviska Enskilda Banken AB (publ) was founded in 1856 and is based in Stockholm, Sweden."
SWED-A,-0.028,-0.026,0.46873,0.0,0.17645,0.01121,,1.405101,9.846698,8.62,Swedbank AB (publ),Financial Services,"Swedbank AB (publ) provides various banking products and services to private and corporate customers in Sweden, Estonia, Latvia, Lithuania, Norway, the United States, Finland, Denmark, Luxembourg, and China. It operates through Swedish Banking; Baltic Banking; Corporates and Institutions; and Premium and Private Banking segments. The company offers savings accounts, mutual funds and insurance savings, pension savings, institutional asset management, and other savings and investment products; private residential lending, consumer financing, corporate lending, leasing, and other financing products, as well as trade finance and factoring services; and current accounts, cash management, cash handling, debit and credit cards, and card acquiring, as well as domestic, international, mobile, document, and other payment products. It also provides equity trading, structured products, corporate finance, custody services, fixed income and currency trading, and other capital market products; administrative services, treasury operations, real estate brokerage and management services, legal services, safe deposit boxes, and other services; and private banking services. In addition, the company offers pension insurance and plans, endowment insurance, and personal insurance products; mortgage lending; mortgage lending; advisory services and investment banking; and transaction banking services comprising cash management, securities, account, and clearing and settlement services, as well as Internet and mobile banking services. The company was formerly known as ForeningsSparbanken AB and changed its name to Swedbank AB (publ) in September 2006. Swedbank AB (publ) was founded in 1820 and is headquartered in Sundbyberg, Sweden."
AAK,-0.003,0.056,0.077410005,0.28397,0.1835,0.09462,18.834,3.3061154,17.442024,1.98,AAK AB (publ.),Consumer Defensive,"AAK AB (publ.) develops and sells plant-based oils and fats in Sweden and internationally. It operates through Food Ingredients, Chocolate & Confectionery Fats, and Technical Products & Feed segments. The company offers food ingredients for bakery, dairy, nutrition, plant-based, and foodservice industries; chocolate and confectionery fats that serves the manufacturers of chocolate, spreads, and fillings products, as well as in the personal care industry; and plant based emollients distinct from synthetic, animal, or fossil based raw materials used in sun care, hair care, color cosmetics, deodorants, wet wipes, and diaper coating products. It also provides natural emulsifiers; fatty acids; candle waxes; and animal feed, proteins, and fats products. AAK AB (publ.) was founded in 1871 and is headquartered in Malmö, Sweden."
AXFO,-0.197,0.039,0.02454,0.14575,0.35493,0.06419,265.85,10.729499,22.368,3.06,Axfood AB (publ),Consumer Defensive,"Axfood AB (publ) engages in the food retail and wholesale businesses primarily in Sweden. It operates through five segments: Willys, Hemköp, City Gross, Snabbgross, and Dagab. The company sells groceries through Willys, HANDLAR'N, Hemköp, and Eurocash, City Gross, Tempo, and Tempo store chains. It is also involved in the e-commerce business; and provision of private label products. In addition, it operates Urban Deli, a combination of restaurant and market hall; Apohem, an online retail pharmacy; Matöppe, a personal grocery store and the retailer-owned mini-mart; Snabbgriss, a restaurant; and Tempo, a mini-mart format of retailer-owned stores. The company serves restaurants, fast food operators, and cafés; and retailer-owned stores, mini-marts, and other convenience retailers. Axfood AB (publ) was incorporated in 1997 and is headquartered in Stockholm, Sweden. Axfood AB (publ) is a subsidiary of Axretail AB."
